"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Corbin Burnes","MIL","11","5","0","28","28","167.0","12.61","1.83","0.38",".309","75.7%","48.8%","6.1%","96.5","2.43","2.01","1.63","2.30","7.5","19361"
"Zack Wheeler","PHI","14","10","0","32","32","213.1","10.42","1.94","0.68",".288","75.3%","49.8%","10.8%","97.3","2.78","2.78","2.59","2.84","7.3","10310"
"Nathan Eovaldi","BOS","11","9","0","32","32","182.1","9.63","1.73","0.74",".326","70.4%","42.0%","8.2%","97.1","3.75","3.37","2.79","3.48","5.6","9132"
"Walker Buehler","LAD","16","4","0","33","33","207.2","9.19","2.25","0.82",".247","80.9%","44.7%","10.1%","95.5","2.47","3.08","3.15","3.57","5.5","19374"
"Max Scherzer","- - -","15","4","0","30","30","179.1","11.84","1.81","1.15",".247","84.3%","33.5%","11.7%","94.5","2.46","2.89","2.97","3.24","5.4","3137"
"Gerrit Cole","NYY","16","8","0","30","30","181.1","12.06","2.03","1.19",".305","77.9%","43.1%","13.5%","97.8","3.23","3.15","2.92","2.93","5.3","13125"
"Julio Urias","LAD","20","3","0","32","32","185.2","9.45","1.84","0.92",".272","76.2%","40.2%","9.4%","94.0","2.96","3.12","3.13","3.73","5.0","14765"
"Carlos Rodon","CHW","13","5","0","24","24","132.2","12.55","2.44","0.88",".267","82.2%","37.7%","9.6%","95.4","2.37","2.63","2.65","3.17","4.9","16137"
"Kevin Gausman","SFG","14","6","0","33","33","192.0","10.64","2.34","0.94",".274","78.4%","41.9%","11.3%","94.7","2.81","3.49","3.00","3.28","4.8","14107"
"Brandon Woodruff","MIL","9","10","0","30","30","179.1","10.59","2.16","0.90",".261","81.4%","41.5%","12.7%","96.5","2.56","3.29","2.96","3.05","4.7","16162"
"Charlie Morton","ATL","14","6","0","33","33","185.2","10.47","2.81","0.78",".267","71.0%","47.8%","12.1%","95.5","3.34","3.32","3.17","3.31","4.6","4676"
"Aaron Nola","PHI","9","9","0","32","32","180.2","11.11","1.94","1.30",".308","66.8%","40.5%","13.5%","93.1","4.63","3.39","3.37","3.37","4.5","16149"
"Dylan Cease","CHW","13","7","0","32","32","165.2","12.28","3.69","1.09",".309","73.9%","33.3%","11.3%","96.8","3.91","3.60","3.40","3.72","4.4","18525"
"Trevor Rogers","MIA","7","8","0","25","25","133.0","10.62","3.11","0.41",".301","74.9%","40.1%","5.0%","94.6","2.64","3.37","2.55","3.54","4.2","22286"
"Sandy Alcantara","MIA","9","15","0","33","33","205.2","8.80","2.19","0.92",".270","72.4%","53.3%","13.3%","98.1","3.19","3.49","3.42","3.45","4.2","18684"
"Lance Lynn","CHW","11","6","0","28","28","157.0","10.09","2.58","1.03",".263","81.5%","38.1%","10.2%","94.0","2.69","2.59","3.32","3.81","4.2","2520"
"Jose Berrios","- - -","12","9","0","32","32","192.0","9.56","2.11","1.03",".277","72.3%","42.8%","12.6%","94.1","3.52","4.09","3.47","3.59","4.1","14168"
"Logan Webb","SFG","11","3","0","27","26","148.1","9.59","2.18","0.55",".309","74.7%","60.9%","12.5%","93.3","3.03","3.22","2.72","2.79","4.1","17995"
"Frankie Montas","OAK","13","9","0","32","32","187.0","9.96","2.74","0.96",".296","74.5%","42.8%","11.4%","96.6","3.37","3.95","3.37","3.64","4.1","14309"
"Lucas Giolito","CHW","11","9","0","31","31","178.2","10.13","2.62","1.36",".269","77.5%","33.2%","13.8%","94.0","3.53","3.29","3.79","3.75","4.0","15474"
"Freddy Peralta","MIL","10","5","0","28","27","144.1","12.16","3.49","0.87",".230","79.1%","33.0%","9.5%","93.4","2.81","2.72","3.12","3.66","4.0","18679"
"Robbie Ray","TOR","13","7","0","32","32","193.1","11.54","2.47","1.54",".268","90.1%","37.2%","15.9%","94.6","2.84","3.55","3.69","3.36","3.9","11486"
"Eduardo Rodriguez","BOS","13","8","0","32","31","157.2","10.56","2.68","1.08",".363","68.9%","43.2%","12.7%","92.8","4.74","3.55","3.32","3.43","3.8","13164"
"Max Fried","ATL","14","7","0","28","28","165.2","8.58","2.23","0.81",".278","75.9%","51.8%","12.1%","94.0","3.04","3.49","3.31","3.45","3.8","13743"
"Adam Wainwright","STL","17","7","0","32","32","206.1","7.59","2.18","0.92",".256","78.4%","47.5%","11.7%","89.3","3.05","3.84","3.66","3.87","3.8","2233"
"Tyler Mahle","CIN","13","6","0","33","33","180.0","10.50","3.20","1.20",".297","77.6%","42.2%","14.1%","94.2","3.75","3.73","3.80","3.74","3.8","16358"
"Luis Castillo","CIN","8","16","0","33","33","187.2","9.21","3.60","0.91",".318","71.5%","56.6%","15.0%","97.3","3.98","3.62","3.75","3.63","3.7","15689"
"Antonio Senzatela","COL","4","10","0","28","28","156.2","6.03","1.84","0.69",".324","66.8%","51.2%","8.7%","94.7","4.42","4.36","3.61","4.17","3.5","15488"
"German Marquez","COL","12","11","0","32","32","180.0","8.80","3.20","1.05",".293","69.3%","51.6%","15.9%","95.1","4.40","4.01","3.86","3.64","3.4","15038"
"Marcus Stroman","NYM","10","13","0","33","33","179.0","7.94","2.21","0.85",".286","75.5%","50.8%","12.8%","92.9","3.02","4.33","3.49","3.57","3.4","13431"
"Chris Bassitt","OAK","12","4","0","27","27","157.1","9.10","2.23","0.86",".271","78.2%","41.8%","9.2%","93.5","3.15","3.49","3.34","3.93","3.3","12304"
"Jordan Montgomery","NYY","6","7","0","30","30","157.1","9.27","2.92","1.09",".307","73.7%","42.7%","11.8%","92.7","3.83","4.12","3.69","3.93","3.3","16511"
"Sean Manaea","OAK","11","10","0","32","32","179.1","9.74","2.06","1.25",".318","77.3%","42.0%","13.8%","","3.91","4.09","3.65","3.62","3.3","15873"
"Joe Musgrove","SDP","11","9","0","32","31","181.1","10.08","2.68","1.09",".266","79.7%","43.5%","14.0%","93.3","3.18","3.89","3.70","3.65","3.3","12970"
"Lance McCullers Jr.","HOU","13","5","0","28","28","162.1","10.26","4.21","0.72",".273","78.5%","56.4%","11.7%","93.4","3.16","3.39","3.52","3.69","3.3","14120"
"Luis Garcia","HOU","11","8","0","30","28","155.1","9.68","2.90","1.10",".287","77.7%","38.5%","11.4%","93.3","3.30","3.98","3.63","3.93","3.1","23735"
"Chris Flexen","SEA","14","6","0","31","31","179.2","6.26","2.00","0.95",".300","76.6%","42.4%","9.1%","92.9","3.61","4.27","3.89","4.56","3.0","13896"
"Anthony DeSclafani","SFG","13","7","0","31","31","167.2","8.16","2.25","1.02",".265","78.3%","44.3%","11.0%","94.2","3.17","3.92","3.62","3.95","3.0","13050"
"Kyle Gibson","- - -","10","9","0","31","30","182.0","7.66","3.16","0.84",".276","73.7%","51.7%","11.1%","93.1","3.71","3.87","3.87","4.14","3.0","10123"
"Shohei Ohtani","LAA","9","2","0","23","23","130.1","10.77","3.04","1.04",".269","79.4%","45.0%","13.3%","95.7","3.18","3.32","3.51","3.55","3.0","19755"
"Wade Miley","CIN","12","7","0","28","28","163.0","6.90","2.76","0.94",".301","79.4%","49.4%","12.6%","90.1","3.37","4.15","3.97","4.07","2.9","8779"
"Yu Darvish","SDP","8","11","0","30","30","166.1","10.77","2.38","1.52",".274","72.3%","37.0%","14.6%","94.6","4.22","3.29","3.90","3.75","2.9","13074"
"Steven Matz","TOR","14","7","0","29","29","150.2","8.60","2.57","1.08",".321","75.4%","45.5%","12.3%","","3.82","4.06","3.79","3.94","2.8","13361"
"Alex Wood","SFG","10","4","0","26","26","138.2","9.87","2.53","0.91",".305","72.9%","50.8%","14.0%","","3.83","3.87","3.48","3.44","2.5","13781"
